Product_id,Selling_Price
SCHE4YSTDVPVZVXW,3302.5645
ACCEGCATKHNRXUHW,1974.86
NKCE6GJ5XVJDXNNZ,11647.514
NKCEB8BK3ZXDHDHM,9517.936
TOPEFDXSAHRNPF94,5699.527
ACCE558KZHEPZYMG,9581.52
ACCEAZCVAMFHDPY7,5091.76
NKCDYNY37JPBGBVM,2604.151
NKCEY8KWY33FCUYD,7693.8145
RNGE4YPTQYRECV9J,4646.6973
NKCE88AHBHJZREXH,3906.1475
CLTEJ5ZZGBP4JGGE,8061.3154
WATE3NWH5FZWAMDA,8253.902
CAGE53FSFZVFPFHQ,1764.9889
PCSEAKVBFFPGCHNZ,3755.2751
WATDFFH3KJYBTYGG,7528.094
NKCDWHFQSCHHYZMP,2677.5603
RNGEB2PG3Q5RKDW6,3413.7502
NKCE5UY9HHPZGGUZ,4469.6333
KTAEHETW3ZCMFMJR,4132.345
BRAEBBYRVF9MHJHU,7946.459
NKCEAX7HAQ2RJA3Q,10122.299
CRTECN2RQZWBSP9W,5118.8545
WATDEWZ9UHSEHGZG,9407.509
PTPEYW8HNV6G9YYR,2914.9956
ACCEAMGZRRYVAHDC,4716.213
SRTEHHXG8MUXTGPA,5955.197
SKIE4S4NN4MHYM3Z,4809.8867
HMBE7G34YHWPWKYN,7168.7607
LLIEGTMFJBD7ZZZM,13618.706
ACCEJGH6JVTM4CBH,3724.9429
ACCDQDYBXJ9HZF37,9920.504
RNGE88FRGZCXNKUG,1277.7156
NKCE7M3QNNPZDXHQ,10284.961
VLBEGFFDP9H6WG2T,3544.729
TOPEAFG4YEQSH5TT,2441.983
WATEYAP3K2QQQWDH,5215.718
PCSEBDFUFJWGARNX,10741.145
SWTEGXQFZY95SKG7,4865.4985
BRAEGJFXSM9ZQ6SK,7309.3457
CAGE6FYKP34GA4GF,7738.3833
HMBEJCMH78VJF3M8,4341.103
HIFEB7J3GSTVN5XJ,10801.711
PBXE6ZHNGZREWWHR,4593.667
PCSEAKVBNXFGZBKB,6845.0034
BRAEBBMQQNZ9RZWR,5813.9883
ACCEGKFCXHZZH44S,3539.1924
SHODXQRRGKZ74U9M,4305.635
DREE2Y6DVEKVVQQS,4593.764
PBXE8ZHHG5Y525BT,6832.725
CTTEH9FXZHGFKUA3,8016.807
ACCDXFZXGQTBTM6N,3675.914
NKCE9PFF3TT4KSQJ,7744.032
BRAE6NZAZK77HXZK,877.98755
NKCE4TV42BHDP63U,3452.7407
AIREDGGD9RJPZGYW,5649.117
PCSEDAPMHR2HNHWP,8273.543
PACE95FMAFXHZB5C,4434.331
WATDG4KP445AV5XC,13931.467
ACCE9EYRRNZYZUBG,961.48395
ACCE8XZMAHNC8JVS,2617.265
SHOED5DCSTQKZCGF,3589.386
NKCE64Z4NGBHNAY7,3582.81
PBXE8WQTZ5GA2YYQ,857.6796
MUGEGZUMGYAPVSZH,4516.4805
PBXE4RB3Y3GXWPFV,2145.6338
PCSE2ZFDJJGFNHC7,3074.8132
CRTECN2QT5HKHZ8F,4818.2246
MUGEACY8Q7ZYSTN8,1440.7207
ACCEGG9VGRMQGHRD,7253.9395
PCSE76X48PVSDDVK,1097.4886
PBXE6677X2D6UFZZ,5910.043
WCKEGGGD2TXHHTJC,249.06514
NKCE7MMGF4PPGNA6,2936.6707
CRTECN2QYTPHK5YQ,4983.741
OIDEJFCWMMR6JQBE,5780.077
WATE5HFY4MJX6CHD,5035.8926
DREE4FC4TAR8M5GN,5405.678
HACEGPF9DZVUZBFY,8412.089
PBXE4Q7YF5KUYJYW,11755.736
SHIED9YEH65NSA8N,10810.7295
WATDHMQJ68MVBRFV,13493.677
HMBEGWTFEV4TF2RH,3337.6687
SHIE2FH7YTVDHFGT,3011.7993
CRTECN2QYRY2KWZF,4249.817
TSHEDJXPN4HNT2UP,6150.976
SHOECZH5WGBZHZES,2732.5222
NKCEDCT9MSAYG6H5,5256.034
SOCEGGVYBTZPKXVP,4659.3755
PBXECARAQBCDSAZW,3328.256
CAGDU85YDHP9ZJH7,2336.222
TCVEHSMFEGNCAGYN,5036.5513
RNGEDAPFZ2GKRUER,3841.5408
CAGDY9Q7HSNDHGFC,3339.7156
NKCECKHYZVHBQU9F,2102.959
NKCDQSVCRH8W73GF,6634.4326
WATD9H76RKGUUZHY,13932.082
NKCE5HYVDQVATMKF,2015.3932
RNGE9GWMKVHGEYZG,4222.813
SHOEAGUMMWFABHUT,3128.2659
SWDEGZMPYQGNEBHG,4929.9893
TOPEFDXSHZPHCUAU,9214.905
CAGDU85Y85GDJGUD,1070.0001
CAGE4BQXK3FSTRRS,3307.3474
CAGDZVGTV3SMMMBY,5161.139
BEOEGXRVQPCKJHYC,3450.64
NKCE9YFBBYBM88DR,3196.0728
DREECZGZVWGQM23M,3944.6472
PBXECYF3YHWYG4UN,166.70184
WATEBG8FGBPUPKCV,5175.26
SHIEEJG9RRDUH9XG,3281.4316
CRTECN2QXAPEWXSF,2674.3389
BRAEE6YMSYPNCUX3,1525.128
WATE9MVXJXHZHEJU,3383.1846
RNGDREYRQQGZAPQM,5588.9595
CTPEGGFSNDQFAAVE,3436.637
NKCEF2RFAPHSHZZZ,4027.0657
TOPDYAZZG5NU7ZBZ,7107.375
PBXE7QPWMSS5XGPZ,774.4552
PCSECV3FHFAQ9T36,12074.049
CRNEJB4NBT9BTM84,5299.169
TSHEHU5RFJCTJKBV,6948.1787
DREECZJC3XBKGDZT,5625.75
SUDEGGATGYXA9YBC,12209.899
BRAE8WYHTVZMFFHS,6074.2334
SFFEGZBXTYFSYJQA,4266.4214
ACCEABVYXNHCT8UE,5367.42
BWLE6SJE9PXGV6DD,4626.4863
NKCDYQ3RHYREHHYV,3839.9783
NKCECDCRWDMZEH2Z,2956.6484
SRTEH2F6HUZMQ6SJ,7159.9624
BRAE6KWFGZFXKPPB,3271.0996
HACEJQY5FQRZZUGM,8439.119
CAGEYUXVF2FNARKD,3221.3367
NKCE7M3QTHTCGVVF,4120.3237
TOPE8PBFNH9YNHFK,5146.709
BRAEDQFRZS9QFYTQ,1609.9751
HMBEJCMMQR2JHFVP,2088.0566
ACCDRFVG52PHVRSK,7468.9385
NKCE7MBR4QRBASDQ,3308.0396
NKCDWBPZNZU5K2QZ,3447.2078
BRAE8HMQATXFHFGZ,3513.1575
MUGEAGGKEGCPWWPN,3381.0383
BKPEGXYWWJPETZZA,5200.828
SGLEGBV6ZNUJNJS9,6061.657
CAGEYUXVAKNKDUUV,6488.1133
NKCEDH9ANZGDAUWG,3020.0398
NKCE5EHJHS38BUWB,3508.949
PBXE9YWGRFUQXHQH,12728.037
SHIE3QDHP5RDGMZY,2723.4038
RNGE9HDVMPVBYPGJ,3383.353
SCHE4YSTCUUSJWCK,2087.738
SNDEGGTV9XERMGHH,7227.102
PBXE92XFUMB7QWY6,8416.081
CRTECN2QYK2R2PUS,4121.6226
TOPEEEPVYHHF9HGW,3432.5715
